,ImageID,XMin,XMax,YMin,YMax
0,0566cb7b75f522f2,0.875625,0.999375,0.11333299999999999,0.5875
1,7e434e1857d32824,0.275285,0.47019399999999995,0.375,0.49418599999999996
2,cc29d2d67a07794e,0.426875,0.61625,0.44769899999999996,0.564854
3,1cccf036cfb3cf6f,0.11718800000000001,0.614258,0.424638,0.762319
4,28f7c0946f6fafd2,0.5525,0.59875,0.035,0.135
5,9ff559a267f9ed08,0.789276,0.999059,0.143125,0.395625
6,5d36d41b49f70b6c,0.5192899999999999,0.631944,0.268519,0.348765
7,081abb701f3d0f19,0.9305559999999999,0.9496530000000001,0.445312,0.454427
8,2a72c9a8b9572cc7,0.429688,0.492188,0.717448,0.7851560000000001
9,b00bc83c04e1b321,0.0275,0.213125,0.902439,0.981117
10,02e3e15d9c8a38b0,0.89375,0.916667,0.181944,0.225
11,97d891761e7d90d4,0.1725,0.865833,0.13,0.6925
12,08ef9a1571c6460a,0.187909,0.998366,0.0,0.133987
13,afa2fc79594f1204,0.0,0.064375,0.6350979999999999,0.8867219999999999
14,295e11f117be05d3,0.354375,0.701875,0.28424,0.7757970000000001
15,1c28e1196c001092,0.0,0.036875,0.371667,0.500833
16,3dc9b546bd7070d2,0.01625,0.0975,0.0,0.035
17,e3e5a4a1bae70d5f,0.675,0.715,0.085833,0.11
18,d3b4c335561842a8,0.893125,0.92,0.802064,0.8658540000000001
19,734b970d8eb72cb7,0.328125,0.485625,0.338346,0.49812
20,4e2134c3f341b927,0.34570300000000004,0.37988299999999997,0.591146,0.647135
21,cc43d9a4c6a62998,0.661932,0.8636360000000001,0.102273,0.433712
22,4658ef0895be7d82,0.0275,0.10375,0.330833,0.458333
23,bf9fbf3660c580e5,0.371875,0.449375,0.43083299999999997,0.511667
24,9f5d2a016e871853,0.092188,0.8164060000000001,0.18020799999999998,0.41875
25,0095734b1bd2ea8d,0.625977,0.640625,0.727865,0.7539060000000001
26,ed87059293dc7954,0.536875,0.555,0.405,0.4375
27,9010925df34db6ca,0.0,0.073125,0.45283,0.5485180000000001
28,9c11465f9336fbf8,0.265625,0.741875,0.138837,0.8095680000000001
29,b6c0cdb840497dfc,0.196875,0.215,0.170901,0.18090799999999999
